No.,Timestamp,SIDE,ENTRY,Take Profit,Stop Loss,R/R Ratio,Volatility Level,Outcome,Outcome %,Leverage,Margin,Session,TP Mode,ATR %,Setup Type,MAE,MFE,Exit Trade,Trend Regime,RSI at Entry,Relative Volume,Trend Slope,Exit Reason,Duration
1,2025-04-05 06:40:42 UTC,LONG,83489.55,84741.9,82905.1,2.14,Weak,STOP LOSS,-3.5,5x,50.0,Asia,FIXED,0.08,RSI Dip,0.24,0.46,2025-04-05 13:20:44 UTC,Bearish,29.4,0.16,-38.209,SL HIT (wick),6.67
2,2025-04-05 13:21:05 UTC,LONG,82775.1,84016.7,82197.7,2.14,Weak,STOP LOSS,-3.49,5x,50.0,EU,FIXED,0.13,RSI Dip,0.71,1.21,2025-04-06 16:46:34 UTC,Bearish,18.16,0.54,-121.788,SL HIT,27.42
3,2025-04-06 17:02:07 UTC,LONG,81929.2,83158.1,81355.7,2.14,Weak,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.17,RSI Dip,0.52,0.02,2025-04-06 17:33:33 UTC,Bearish,28.73,1.88,-58.98,SL HIT (wick),0.52
4,2025-04-06 17:34:02 UTC,LONG,81332.48,82552.5,80763.2,2.14,Weak,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.21,RSI Dip,0.6,0.21,2025-04-06 17:56:35 UTC,Bearish,22.74,2.85,-88.003,SL HIT (wick),0.38
5,2025-04-06 17:56:00 UTC,LONG,80663.08,81873.0,80098.4,2.14,Weak,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.3,RSI Dip,0.44,0.14,2025-04-06 18:11:35 UTC,Bearish,19.12,0.5,-189.27,SL HIT (wick),0.26
6,2025-04-06 18:09:29 UTC,LONG,80156.37,81358.7,79595.3,2.14,Weak,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.34,RSI Dip,0.44,0.4,2025-04-06 18:26:35 UTC,Bearish,16.08,1.47,-242.442,SL HIT (wick),0.29
7,2025-04-06 18:22:55 UTC,LONG,80107.11,81308.7,79546.4,2.14,Weak,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.37,RSI Dip,0.56,0.16,2025-04-06 18:41:35 UTC,Bearish,21.3,2.2,-68.796,SL HIT,0.31
8,2025-04-06 18:40:48 UTC,LONG,79417.72,80609.0,78861.8,2.14,Weak,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.43,RSI Dip,0.37,0.09,2025-04-06 18:50:39 UTC,Bearish,18.84,0.54,-140.62,SL HIT,0.16
9,2025-04-06 22:55:23 UTC,LONG,77933.86,79102.9,77388.3,2.14,Moderate,STOP LOSS,-3.5,5x,50.0,US,FIXED,0.51,RSI Dip,0.56,0.28,2025-04-06 23:14:40 UTC,Bearish,28.77,0.01,-186.27,SL HIT (wick),0.32
10,2025-04-06 23:10:53 UTC,LONG,77382.91,78543.7,76841.2,2.14,Moderate,SUCCESS,7.5,5x,50.0,US,FIXED,0.53,RSI Dip,0.38,1.28,2025-04-06 23:49:40 UTC,Bearish,22.9,0.39,-154.297,TP HIT (wick),0.65
11,2025-04-07 04:41:05 UTC,LONG,76798.63,77950.6,76261.0,2.14,Weak,STOP LOSS,-3.5,5x,50.0,Asia,FIXED,0.42,RSI Dip,0.24,0.87,2025-04-07 06:19:40 UTC,Bearish,29.48,0.24,-165.769,SL HIT,1.64
12,2025-04-07 06:20:46 UTC,LONG,76092.36,77233.7,75559.7,2.14,Weak,PENDING,0.0,5x,50.0,Asia,FIXED,0.43,RSI Dip,0.0,0.0,PENDING,0.0,29.0,0.68,-254.795,0.0,
